Store,Weekly_Sales,Holiday_Flag,Temperature,Unemployment,year,month,week,CPI_R
20.0,2045837.55,Regular,39.79,6.961,,,,1
2.0,1797732.56,Regular,76.42,7.931,,,,2
9.0,485389.15,,78.51,6.442,2010.0,9.0,2.0,2
14.0,1953544.76,Regular,78.47,8.625,2011.0,7.0,3.0,1
1.0,1494251.5,Regular,74.78,7.808,2010.0,5.0,3.0,1
8.0,860336.16,Regular,49.76,6.299,2010.0,12.0,1.0,2
5.0,298697.84,Regular,67.53,,2010.0,4.0,5.0,1
10.0,1768172.31,Regular,90.32,9.524,2010.0,6.0,4.0,0
13.0,2018314.71,Regular,78.82,7.951,2010.0,2.0,1.0,0
3.0,364076.85,Regular,83.52,7.343,2010.0,6.0,3.0,2
2.0,1799520.14,Regular,46.75,7.057,2012.0,6.0,1.0,2
18.0,1087051.26,Regular,69.75,8.89,,,,0
4.0,2302504.86,Regular,42.4,7.127000000000002,2010.0,10.0,3.0,0
3.0,419497.95,Regular,82.7,6.664,2012.0,6.0,4.0,2
19.0,1366395.96,Regular,72.83,8.099,2010.0,7.0,5.0,0
14.0,2095591.63,Regular,34.89,8.992,2010.0,2.0,4.0,2
8.0,994801.4,Holiday,33.34,6.299,2010.0,12.0,1.0,2
18.0,1256282.79,Regular,69.12,,2010.0,5.0,5.0,0
20.0,1799737.79,Holiday,28.85,7.484,2010.0,12.0,5.0,1
19.0,1468350.36,Regular,,8.15,2012.0,6.0,4.0,0
2.0,2124451.54,Regular,39.69,,2010.0,2.0,3.0,1
13.0,1811606.21,Regular,32.71,6.104,2012.0,1.0,4.0,0
11.0,1757242.51,Holiday,69.9,7.564,2010.0,11.0,4.0,2
15.0,660838.75,Regular,,,2010.0,2.0,3.0,0
7.0,457340.06,Regular,39.3,8.09,2012.0,4.0,4.0,1
9.0,513073.87,,82.99,6.384,2010.0,6.0,3.0,2
14.0,1864746.1,Regular,34.32,,2011.0,7.0,1.0,1
8.0,836707.85,Regular,75.32,6.315,2010.0,9.0,3.0,2
5.0,275142.17,Regular,89.42,6.529,2011.0,7.0,5.0,2
7.0,597876.55,Holiday,57.84,7.872000000000001,2012.0,7.0,3.0,1
1.0,1466046.67,Regular,,7.682,2011.0,5.0,5.0,2
19.0,1467473.63,Regular,68.26,7.657999999999999,2011.0,10.0,2.0,0
3.0,398838.97,Regular,63.91,7.197,2011.0,11.0,3.0,2
16.0,614253.33,Regular,61.79,6.867999999999999,2010.0,9.0,2.0,1
13.0,1970341.38,Regular,75.95,6.877000000000002,2011.0,12.0,2.0,0
18.0,1048134.24,Regular,73.25,8.535,,,,0
13.0,2025582.62,Regular,52.5,6.104,2012.0,3.0,3.0,0
17.0,855459.96,Regular,,,2010.0,12.0,2.0,0
4.0,2036231.39,Regular,82.84,5.644,2011.0,7.0,4.0,0
4.0,2066541.86,,84.59,5.644,2011.0,8.0,1.0,0
10.0,1831676.03,Regular,88.44,9.199,,,,0
6.0,1639358.93,Regular,74.24,6.855,2011.0,4.0,4.0,2
7.0,532739.77,Regular,50.6,8.09,2012.0,5.0,4.0,1
5.0,301827.36,Regular,62.37,6.768,2010.0,12.0,2.0,1
3.0,403342.4,Regular,75.54,7.197,2011.0,7.0,2.0,2
3.0,396968.8,Regular,78.53,7.343,2010.0,4.0,2.0,2
3.0,424513.08,Regular,73.44,6.034,2012.0,10.0,3.0,2
14.0,2248645.59,Regular,72.62,8.899,2010.0,6.0,3.0,1
17.0,845252.21,Regular,57.14,,2010.0,11.0,1.0,0
8.0,856796.1,Regular,86.05,,2011.0,12.0,2.0,2
19.0,1255087.26,Regular,55.2,8.15,2012.0,4.0,4.0,0
